=== RESULTS ===

Algorithm:	Apriori
Count:		444

Finished in 2.13 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<40h', 'Private', 0.49990786806707205, 0.708355091383812]
['Private', '<40h', 0.49990786806707205, 0.7172188931970391]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
[('<40h', '<=50K'), 'United-States', 0.5163994840611756, 0.8852329560410634]
[('<40h', 'United-States'), '<=50K', 0.5163994840611756, 0.8236994219653179]
[('<=50K', 'United-States'), '<40h', 0.5163994840611756, 0.7643529251329606]
['<40h', ('<=50K', 'United-States'), 0.5163994840611756, 0.7317232375979112]
[('<40h', '<=50K'), 'White', 0.4771205699895584, 0.8178994472229534]
[('<40h', 'White'), '<=50K', 0.4771205699895584, 0.815281276238455]
[('<=50K', 'White'), '<40h', 0.4771205699895584, 0.7505676602734431]
[('<40h', '<=50K'), 'cl_0', 0.5666420981512192, 0.9713608844432745]
[('<40h', 'cl_0'), '<=50K', 0.5666420981512192, 0.8356809638117668]
[('<=50K', 'cl_0'), '<40h', 0.5666420981512192, 0.7696254275465088]
['<40h', ('<=50K', 'cl_0'), 0.5666420981512192, 0.8029155787641428]
['<=50K', ('<40h', 'cl_0'), 0.5666420981512192, 0.7463996763754045]
[('<40h', 'United-States'), 'White', 0.5351329770898593, 0.8535808758695014]
[('<40h', 'White'), 'United-States', 0.5351329770898593, 0.9144101595298069]
['<40h', ('United-States', 'White'), 0.5351329770898593, 0.7582680591818973]
[('<40h', 'United-States'), 'cl_0', 0.6018672071740065, 0.9600274321544039]
[('<40h', 'cl_0'), 'United-States', 0.6018672071740065, 0.8876307803795461]
[('United-States', 'cl_0'), '<40h', 0.6018672071740065, 0.705192328451657]
['<40h', ('United-States', 'cl_0'), 0.6018672071740065, 0.8528285465622281]
[('<40h', 'White'), 'cl_0', 0.5616055524844912, 0.9596452560873215]
[('<40h', 'cl_0'), 'White', 0.5616055524844912, 0.8282530911726075]
['<40h', ('White', 'cl_0'), 0.5616055524844912, 0.7957789382071366]
[('<=50K', 'United-States'), 'White', 0.5809532583993612, 0.8599027228510386]
[('<=50K', 'White'), 'United-States', 0.5809532583993612, 0.9139088844871733]
[('United-States', 'White'), '<=50K', 0.5809532583993612, 0.7383396432613871]
['<=50K', ('United-States', 'White'), 0.5809532583993612, 0.7652508090614887]
[('<=50K', 'United-States'), 'cl_0', 0.654904489896198, 0.9693622437383518]
[('<=50K', 'cl_0'), 'United-States', 0.654904489896198, 0.8895052974055226]
[('United-States', 'cl_0'), '<=50K', 0.654904489896198, 0.767334748659638]
['<=50K', ('United-States', 'cl_0'), 0.654904489896198, 0.8626618122977346]
['United-States', ('<=50K', 'cl_0'), 0.654904489896198, 0.7310593075077134]
[('<=50K', 'White'), 'cl_0', 0.616024814200602, 0.9690806319145853]
[('<=50K', 'cl_0'), 'White', 0.616024814200602, 0.8366980895970635]
[('White', 'cl_0'), '<=50K', 0.616024814200602, 0.7578012844729883]
['<=50K', ('White', 'cl_0'), 0.616024814200602, 0.811448220064725]
['White', ('<=50K', 'cl_0'), 0.616024814200602, 0.7211317227494967]
[('Male', 'United-States'), 'White', 0.5421350039923838, 0.9058394909688013]
[('Male', 'White'), 'United-States', 0.5421350039923838, 0.920673829143632]
['Male', ('United-States', 'White'), 0.5421350039923838, 0.8101422670949977]
[('Male', 'United-States'), 'cl_0', 0.5665499662182912, 0.9466338259441708]
[('Male', 'cl_0'), 'United-States', 0.5665499662182912, 0.8937984496124031]
['Male', ('United-States', 'cl_0'), 0.5665499662182912, 0.8466268930702157]
[('Male', 'White'), 'cl_0', 0.5571525090596401, 0.9461771148430166]
[('Male', 'cl_0'), 'White', 0.5571525090596401, 0.8789728682170542]
['Male', ('White', 'cl_0'), 0.5571525090596401, 0.8325837540156035]
[('United-States', 'White'), 'cl_0', 0.7477734782875745, 0.950353225869404]
[('United-States', 'cl_0'), 'White', 0.7477734782875745, 0.8761469540498723]
[('White', 'cl_0'), 'United-States', 0.7477734782875745, 0.9198715527011712]
['United-States', ('White', 'cl_0'), 0.7477734782875745, 0.8347274597188893]
['White', ('United-States', 'cl_0'), 0.7477734782875745, 0.8753595053206787]
['cl_0', ('United-States', 'White'), 0.7477734782875745, 0.7843888924682688]
[('<40h', '<=50K'), 'cg_0', 0.5602542841348811, 0.9604106343774678]
[('<40h', 'cg_0'), '<=50K', 0.5602542841348811, 0.8515614059655511]
[('<=50K', 'cg_0'), '<40h', 0.5602542841348811, 0.7702343255224826]
['<40h', ('<=50K', 'cg_0'), 0.5602542841348811, 0.793864229765013]
['<=50K', ('<40h', 'cg_0'), 0.5602542841348811, 0.7379854368932038]
[('<40h', 'United-States'), 'cg_0', 0.5834715312327252, 0.9306848241402959]
[('<40h', 'cg_0'), 'United-States', 0.5834715312327252, 0.8868505811510993]
[('United-States', 'cg_0'), '<40h', 0.5834715312327252, 0.711599685381475]
['<40h', ('United-States', 'cg_0'), 0.5834715312327252, 0.8267624020887728]
[('<40h', 'White'), 'cg_0', 0.5439776426509428, 0.9295235096557515]
[('<40h', 'cg_0'), 'White', 0.5439776426509428, 0.8268216402931429]
['<40h', ('White', 'cg_0'), 0.5439776426509428, 0.7708006962576153]
[('<40h', 'cg_0'), 'cl_0', 0.630243842515816, 0.9579423983569061]
[('<40h', 'cl_0'), 'cg_0', 0.630243842515816, 0.9294805018343222]
[('cg_0', 'cl_0'), '<40h', 0.630243842515816, 0.724391104835863]
['<40h', ('cg_0', 'cl_0'), 0.630243842515816, 0.8930374238468233]
[('<=50K', 'United-States'), 'cg_0', 0.6470118543087034, 0.9576798945406609]
