=== RESULTS ===

Algorithm:	Apriori
Count:		486

Finished in 2.05 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['United-States', '<40h', 0.6269270929304097, 0.6998285910181693]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['White', '<40h', 0.5852220379583564, 0.6850733390854185]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['United-States', 'Male', 0.5984890362999816, 0.6680836475831333]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['White', 'Male', 0.5888458939868558, 0.6893155018694277]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['cl_0', 'Male', 0.6338676985443155, 0.6649056117518202]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['cg_0', 'Male', 0.6050304035378662, 0.6600221112935106]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['United-States', 'Private', 0.6183588231681101, 0.6902639698320192]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['White', 'Private', 0.5959093421779988, 0.6975841242450388]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
['cl_0', 'Private', 0.6668509305325225, 0.69950389794472]
[('<40h', '<=50K'), 'United-States', 0.5163994840611756, 0.8852329560410634]
[('<40h', 'United-States'), '<=50K', 0.5163994840611756, 0.8236994219653179]
[('<=50K', 'United-States'), '<40h', 0.5163994840611756, 0.7643529251329606]
['<40h', ('<=50K', 'United-States'), 0.5163994840611756, 0.7317232375979112]
['<=50K', ('<40h', 'United-States'), 0.5163994840611756, 0.6802184466019418]
['United-States', ('<40h', '<=50K'), 0.5163994840611756, 0.576448405896469]
[('<40h', '<=50K'), 'cl_0', 0.5666420981512192, 0.9713608844432745]
[('<40h', 'cl_0'), '<=50K', 0.5666420981512192, 0.8356809638117668]
[('<=50K', 'cl_0'), '<40h', 0.5666420981512192, 0.7696254275465088]
['<40h', ('<=50K', 'cl_0'), 0.5666420981512192, 0.8029155787641428]
['<=50K', ('<40h', 'cl_0'), 0.5666420981512192, 0.7463996763754045]
['cl_0', ('<40h', '<=50K'), 0.5666420981512192, 0.5943882481798853]
[('<40h', 'United-States'), 'White', 0.5351329770898593, 0.8535808758695014]
[('<40h', 'White'), 'United-States', 0.5351329770898593, 0.9144101595298069]
[('United-States', 'White'), '<40h', 0.5351329770898593, 0.6801061629132352]
['<40h', ('United-States', 'White'), 0.5351329770898593, 0.7582680591818973]
['United-States', ('<40h', 'White'), 0.5351329770898593, 0.597360301679808]
['White', ('<40h', 'United-States'), 0.5351329770898593, 0.626438021282715]
[('<40h', 'United-States'), 'cl_0', 0.6018672071740065, 0.9600274321544039]
[('<40h', 'cl_0'), 'United-States', 0.6018672071740065, 0.8876307803795461]
[('United-States', 'cl_0'), '<40h', 0.6018672071740065, 0.705192328451657]
['<40h', ('United-States', 'cl_0'), 0.6018672071740065, 0.8528285465622281]
['United-States', ('<40h', 'cl_0'), 0.6018672071740065, 0.6718546451834077]
['cl_0', ('<40h', 'United-States'), 0.6018672071740065, 0.6313381869724889]
[('<40h', 'White'), 'cl_0', 0.5616055524844912, 0.9596452560873215]
[('<40h', 'cl_0'), 'White', 0.5616055524844912, 0.8282530911726075]
[('White', 'cl_0'), '<40h', 0.5616055524844912, 0.6908575746127692]
['<40h', ('White', 'cl_0'), 0.5616055524844912, 0.7957789382071366]
['White', ('<40h', 'cl_0'), 0.5616055524844912, 0.6574273799252229]
['cl_0', ('<40h', 'White'), 0.5616055524844912, 0.5891050834353456]
[('<=50K', 'United-States'), 'White', 0.5809532583993612, 0.8599027228510386]
[('<=50K', 'White'), 'United-States', 0.5809532583993612, 0.9139088844871733]
[('United-States', 'White'), '<=50K', 0.5809532583993612, 0.7383396432613871]
['<=50K', ('United-States', 'White'), 0.5809532583993612, 0.7652508090614887]
['United-States', ('<=50K', 'White'), 0.5809532583993612, 0.6485087418580734]
['White', ('<=50K', 'United-States'), 0.5809532583993612, 0.6800762151279839]
[('<=50K', 'United-States'), 'cl_0', 0.654904489896198, 0.9693622437383518]
[('<=50K', 'cl_0'), 'United-States', 0.654904489896198, 0.8895052974055226]
[('United-States', 'cl_0'), '<=50K', 0.654904489896198, 0.767334748659638]
['<=50K', ('United-States', 'cl_0'), 0.654904489896198, 0.8626618122977346]
['United-States', ('<=50K', 'cl_0'), 0.654904489896198, 0.7310593075077134]
['cl_0', ('<=50K', 'United-States'), 0.654904489896198, 0.6869724888860254]
[('<=50K', 'White'), 'cl_0', 0.616024814200602, 0.9690806319145853]
[('<=50K', 'cl_0'), 'White', 0.616024814200602, 0.8366980895970635]
[('White', 'cl_0'), '<=50K', 0.616024814200602, 0.7578012844729883]
['<=50K', ('White', 'cl_0'), 0.616024814200602, 0.811448220064725]
['White', ('<=50K', 'cl_0'), 0.616024814200602, 0.7211317227494967]
['cl_0', ('<=50K', 'White'), 0.616024814200602, 0.6461890342117131]
[('Male', 'United-States'), 'White', 0.5421350039923838, 0.9058394909688013]
[('Male', 'White'), 'United-States', 0.5421350039923838, 0.920673829143632]
[('United-States', 'White'), 'Male', 0.5421350039923838, 0.6890051129932477]
['Male', ('United-States', 'White'), 0.5421350039923838, 0.8101422670949977]
['United-States', ('Male', 'White'), 0.5421350039923838, 0.6051765512512856]
['White', ('Male', 'United-States'), 0.5421350039923838, 0.6346347425941904]
[('Male', 'United-States'), 'cl_0', 0.5665499662182912, 0.9466338259441708]
[('Male', 'cl_0'), 'United-States', 0.5665499662182912, 0.8937984496124031]
[('United-States', 'cl_0'), 'Male', 0.5665499662182912, 0.6638120254758735]
['Male', ('United-States', 'cl_0'), 0.5665499662182912, 0.8466268930702157]
['United-States', ('Male', 'cl_0'), 0.5665499662182912, 0.6324305793623586]
['cl_0', ('Male', 'United-States'), 0.5665499662182912, 0.5942916049223632]
[('Male', 'White'), 'cl_0', 0.5571525090596401, 0.9461771148430166]
[('Male', 'cl_0'), 'White', 0.5571525090596401, 0.8789728682170542]
[('White', 'cl_0'), 'Male', 0.5571525090596401, 0.6853796751038912]
['Male', ('White', 'cl_0'), 0.5571525090596401, 0.8325837540156035]
