=== RESULTS ===

Algorithm:	Apriori
Count:		25507

Finished in 34.79 seconds['35-50y', '<40h', 0.21531232725262575, 0.6273264137437365]
['<40h', '35-50y', 0.21531232725262575, 0.30509138381201045]
['35-50y', '<=50K', 0.2192125790799091, 0.6386900501073729]
['35-50y', 'Male', 0.24110926847245256, 0.7024874731567645]
['Male', '35-50y', 0.24110926847245256, 0.36030289123451126]
['35-50y', 'United-States', 0.30778207726798107, 0.8967430207587688]
['United-States', '35-50y', 0.30778207726798107, 0.3435721631813507]
['35-50y', 'White', 0.2929488360665807, 0.8535254115962777]
['White', '35-50y', 0.2929488360665807, 0.34293212539545587]
['35-50y', 'cl_0', 0.3230452674897119, 0.9412133142448104]
['cl_0', '35-50y', 0.3230452674897119, 0.3388634752915405]
['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'Male', 0.42844419875928996, 0.6070931244560487]
['Male', '<40h', 0.42844419875928996, 0.6402478201009637]
['<40h', 'Never-married', 0.26322093237516125, 0.37297650130548304]
['Never-married', '<40h', 0.26322093237516125, 0.8023027239539455]
['Not-in-family', '<40h', 0.1793194521221055, 0.7030704394942806]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['United-States', '<40h', 0.6269270929304097, 0.6998285910181693]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['White', '<40h', 0.5852220379583564, 0.6850733390854185]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'Male', 0.4645906271113568, 0.6119741100323625]
['Male', '<=50K', 0.4645906271113568, 0.6942634235888022]
['<=50K', 'Never-married', 0.3130028868005651, 0.4122977346278317]
['Never-married', '<=50K', 0.3130028868005651, 0.9540391275858842]
['<=50K', 'Not-in-family', 0.2287635894601069, 0.3013349514563107]
['Not-in-family', '<=50K', 0.2287635894601069, 0.8969295605057195]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Bachelors', 'cl_0', 0.15407530249984644, 0.9368814192343604]
['Never-married', 'Male', 0.18168417173392298, 0.5537770289244595]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['United-States', 'Male', 0.5984890362999816, 0.6680836475831333]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['White', 'Male', 0.5888458939868558, 0.6893155018694277]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
